X,Y
404,784
661,784
211,784
729,840
1211,707
1104,840
33,711
437,825
325,1028
325,825
1100,707
1207,840
101,784
437,670
764,821
551,821
951,784
437,1028
325,670
101,821
215,1002
951,821
547,1002
661,821
211,821
325,633
251,711
1059,711
437,633
215,965
476,711
325,707
33,674
437,707
547,965
547,585
506,711
366,711
954,714
251,674
396,711
211,711
211,674
215,1028
547,670
33,637
1059,674
551,711
916,670
366,674
922,600
506,674
661,711
922,711
661,674
29,1002
547,1028
764,674
251,637
29,1021
108,711
547,633
108,674
657,585
215,633
764,711
506,637
1059,637
29,965
657,1002
105,1002
657,965
914,1024
105,965
771,581
661,637
105,1028
764,637
657,1028
108,637
764,1024
768,965
768,1002
959,674
922,581
953,633
67,578
585,578
620,578
695,578
